taxonConcept,Scratchpad
Aglaophamus posterobranchus,"Aglaophamus posterobranchus Hartman, 1967"
Aglaophamus sp. 1,
Ampharete sp. 1,"Ampharete Malmgren, 1866  "
Amphicorina sp. 3,
Amphicorina sp. 4,
Amphicorina? sp. 1,
Aricidea (Allia) cf. antennata,"Aricidea (Allia) cf. antennata Annenkova, 1934"
Aricidea pisanoi ,"Aricidea pisanoi Montiel and Hilbig, 2004"
Artacamella sp. 1,
Augeneria tentaculata,"Augeneria tentaculata Monro, 1930"
Aurospio foodbancsia,Aurospio foodbancsia Mincks et al. 2009
Capitella sp. 2,
Caulleriella sp.,"Caulleriella Chamberlin, 1919 "
cf. Novafabricia sp. 1,"cf. Novafabricia Fitzhugh, 1990"
Chaetozone sp. 4,
Cirratulus sp. 1,"Cirratulus Lamarck, 1818"
Claviramus sp. 1,"Claviramus Fitzhugh, 2002"
Clymenura sp. 1,
Dodecaceria sp. 1,
Dodecaceria sp. 2,
Drilonereis tenuis,"Drilonereis tenuis (Ehlers, 1900) "
Ephesiella?  sp. 1,
Euchone sp. 1,
Euchone sp. 3,
Euchone sp. 4,
Euchone sp. 2,
Euclymeninae sp. 2,
Euphrosinopsis antipoda ,"Euphrosinopsis antipoda Kudenov, 1993 "
Eusamythella sexdentata ,"Eusamythella Hartman, 1971  "
Exogone (Paraexogone) cf. wolfi ,"Exogone (Paraexogone) cf. wolfi San Martín, 1991 "
Glycera sp. 1,
Glyphanostomum sp. 1,"Glyphanostomum Levinsen, 1884"
Harmothoe magellanica ,"Harmothoe magellanica (McIntosh, 1885)"
Hauchiella sp. 1,
Jasmineira sp. 1,
Jasmineira sp. 4,
Kinbergonuphis oligobranchiata,"Kinbergonuphis oligobranchiata (Orensanz, 1974)"
Lacydonia sp. 1,"Lacydoniidae Bergström, 1914 "
Laonice sp. 2,
Laonice sp. 3,
Laubieriopsis cf. brevis,"Fauveliopsidae Hartman, 1971"
Leaena? sp. 2,Leaena sp. 2 
Leodamas sp. 1,"Scoloplos (Leodamas) Kinberg, 1865 "
Levinsenia acutibranchiata ,"Levinsenia acutibranchiata (Strelzov, 1973) "
Lumbriclymenella sp. 1,"Lumbriclymenella Arwidsson, 1911"
Lysilla sp. 1,
"Lysippe cf. fragilis (Wollebaeck, 1912)",
Melinna sp. 1,
Micromaldane sp. 1 (larva?),"Micromaldane Mesnil, 1897"
Mystides sp. 1,
Myxicola cf. sulcata,"Myxicola Koch in Renier, 1847"
Neomediomastus sp. 1,
Notomastus sp. 1,
Notoproctus sp. 1,"Notoproctus Arwidsson, 1907  "
Ophelina syringopyge ,"Ophelina syringopyge (Ehlers, 1901)  "
Paradoneis sp. 1,"Paradoneis Hartman, 1965"
Pectinariidae sp. 1,"Pectinariidae Quatrefages, 1866 "
Perkinsiana? sp. 2,cf. Perkinsiana sp. 2
Phyllodoce  sp. 1,
Pista sp. 3,
Pista sp. 4,
Polycirrus sp. 1,
Prionospio?  sp.,Prionospio? sp.
Protomystides? sp. 1,
Protomystides? sp. 2,
Pseudoscalibregma sp. 1,
Rhodine cf. antarctica ,"Rhodine cf. antarctica Gravier, 1911 "
Rhodine cf. intermedia ,"Rhodine cf. intermedia Arwidsson, 1911"
Samytha sp. 1,"Samytha Malmgren, 1866"
Samythella sp. 1,
Samythella sp. 2,
Scalibregma sp. 2,
Scalibregmatidae sp. 1,
Sphaerodoropsis cf. macrotubercula ,"Sphaerodoropsis cf. macrotubercula Böggemann, 2009"
Sphaerodoropsis sp. 1,
Sphaerodoropsis sp. 2,
Sphaerosyllis lateropapillata ,"Sphaerosyllis lateropapillata Hartmann-Schröder, 1986 "
Syllis sp. 1,
Tanseimaruana sp. 1,"Tanseimaruana Imajima, Reuscher and Fiege, 2013"
Terebellides sp. 3,
Travisia sp. 1,
Aglaophamus sp. 3,
Aglaophamus cf. peruana,"Aglaophamus cf. peruana (Hartman, 1940)"
Anchinothria cf. pycnobranchaiata,
Anguillosyllis palpata,"Anguillosyllis palpata (Hartman, 1967)"
Aonidella cirrobranchiata,"Aonidella cirrobranchiata (Day, 1961)"
Aphelochaeta sp. 1,
Boguea sp. 1,"Boguea Hartman, 1945 "
Capitella sp. 3,
Ceratocephale sp. 1,
Chaetozone sp. 1,
Euphrosinopsis cf. crassiseta ,"Euphrosinopsis cf. crassiseta Kudenov, 1993"
Exogone heterosetoides australis ,"Exogone heterosetoides australis Hartmann-Schröder & Rosenfeldt, 1988"
Leaena? sp. 1,Leaena sp. 1 
Lumbrineris kerguelensis/cingulata group,Lumbrineris kerguelensis/cingulata Group
Neanthes sp. 1,
Nothria anoculata ,"Nothria anoculata Orensanz, 1974 "
Pholoe sp. 1,
Phyllochaetopterus sp. 1,
Phylo felix heterosetosa,"Phylo felix heterosetosa Hartmann-Schröder, 1965 "
Pionosyllis? sp. 1,
Pista sp. 2,
Sigalionidae sp. 2,
Spiochaetopterus sp. 1,
Syllis sclerolaema ,"Syllis sclerolaema Ehlers, 1901"
Terebellides sp. 1,
Terebellides sp. 2,
Tharyx cf. epitoka,"Tharyx Webster & Benedict, 1887"
?Eranno sp. 1,Errano sp. 1
Eunice cf. pennata,"Eunicidae Berthold, 1827 "
Leptoecia vivipara ,"Leptoecia vivipara Orensanz, 1990 "
Ophelina abranchiata,Ophelina farallonensis Blake 2000
Fabricinuda sp. 2,Fabricinuda sp2
Amage scultpa,"Amage Malmgren, 1866"
Ancistrosyllis cf groenlandica,"Pilargidae de Saint-Joseph, 1899"
Apistobranchus sp. 1,"Apistobranchidae Mesnil and Caullery, 1898"
Aricidea (Aedicira) antarctica,"Aricidea (Allia) antarctica Hartmann-Schröder & Rosenfeldt, 1988"
Cirrophorus cf. furcatus,"Cirrophorus Ehlers, 1908"
Cossura sp. 1,"Cossuridae Day, 1963"
Desdemona? sp. 1,"Desdemona Banse, 1957"
Eucranta mollis,"Eucranta Malmgren, 1866"
Galathowenia sp. 1,"Oweniidae Rioja, 1917"
Jasmineira cf. regularis,"Jasmineira regularis form 2 Hartman, 1978"
Jasmineira cf. regularis (form 1),"Jasmineira regularis form 1 Hartman, 1978"
Jasmineira (Claviramus?) sp. 5,"Claviramus Fitzhugh, 2002"
Myxicola cf. sulcata,"Myxicola Koch in Renier, 1847"
Neoleanira magellanica,Sigalionidae (Neoleanira?) sp. 1
Nichomache cf. lumbricalis,"Nichomache Malmgren, 1865"
Paramphinome australis,"Amphinomidae Lamarck, 1818"
Parexogone cf. wolfi,"Exogone (Paraexogone) cf. wolfi San Martín, 1991"
Potamethus sp. 1,"Potamethus Chamberlin, 1919"
Schistomeringos sp 1,"Dorvilleidae Chamberlin, 1919"
Scolelepis sp. 1,Scololepis sp. 1
Sternaspis sp. 1,"Sternaspidae Carus, 1863"